"","P607 - Nº Trabajadores","P639 - Años Funcionamiento","P640 - Método Contable","P978 - Smartphones","P1010 - Ingresos ($)","P1087 - PC Escritorio","P1088 - PC Portátil","P1559 - Redes Sociales","P2524 - Acceso a Internet","P2529 - Velocidad Internet","P2532 - Página Web","SECTOR - Sector Económico"
"1",4,"3 a menos de 5 años","Otro tipo de cuentas",0,1.62e+08,0,0,"No","No",NA,"No","Servicios"
"2",1,"1 a menos de 3 años","No lleva",0,2.3e+07,0,0,"No","No",NA,"No","Servicios"
"3",1,"10 años o más","Otro tipo de cuentas",0,9e+07,0,0,"No","Sí","Menos de 2 MB","No","Comercio"
"4",1,"1 a menos de 3 años","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"5",1,"10 años o más","No lleva",0,4.8e+07,0,0,"No","No",NA,"No","Comercio"
"6",1,"5 a menos de 10 años","Otro tipo de cuentas",0,5.5e+07,0,0,"No","No",NA,"No","Comercio"
"7",1,"5 a menos de 10 años","Otro tipo de cuentas",0,5.4e+07,0,0,"No","No",NA,"No","Comercio"
"8",1,"1 a menos de 3 años","Otro tipo de cuentas",0,4e+07,0,0,"No","No",NA,"No","Comercio"
"9",1,"3 a menos de 5 años","Otro tipo de cuentas",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"10",1,"3 a menos de 5 años","Otro tipo de cuentas",0,3.3e+07,0,0,"No","No",NA,"No","Comercio"
"11",1,"1 a menos de 3 años","Otro tipo de cuentas",0,62400000,0,0,"No","No",NA,"No","Servicios"
"12",2,"3 a menos de 5 años","Otro tipo de cuentas",0,1.08e+08,0,0,"No","No",NA,"No","Comercio"
"13",4,"10 años o más","No lleva",0,7800000,0,0,"No","No",NA,"No","Servicios"
"14",2,"3 a menos de 5 años","Otro tipo de cuentas",0,1.2e+07,1,0,"Sí","Sí","Entre 2 y menos de 4 MB","Sí","Servicios"
"15",2,"1 a menos de 3 años","No lleva",0,5.3e+07,0,0,"No","No",NA,"No","Comercio"
"16",1,"10 años o más","No lleva",0,8e+06,0,0,"No","No",NA,"No","Comercio"
"17",1,"10 años o más","Otro tipo de cuentas",0,8160000,0,0,"No","No",NA,"No","Comercio"
